"CombPer","Cap","IWB","ODB","TotCap","Power"
90.0,44.1,18.0,-9.1,38.6,13.2
90.0,44.1,18.0,-7.6,40.0,13.4
90.0,44.1,18.0,-5.6,42.1,13.8
90.0,44.1,18.0,-3.7,44.1,14.1
90.0,44.1,18.0,-0.7,47.6,14.6
90.0,44.1,18.0,2.2,51.2,15.0
90.0,44.1,18.0,4.1,53.8,15.3
90.0,44.1,18.0,6.0,54.1,14.5
90.0,44.1,18.0,7.9,54.1,13.7
90.0,44.1,18.0,9.8,54.1,13.0
90.0,44.1,18.0,11.8,54.1,12.2
90.0,44.1,18.0,13.7,54.1,11.6
90.0,44.1,20.0,-15.0,33.7,12.6
90.0,44.1,20.0,-13.0,35.2,12.9
90.0,44.1,20.0,-11.0,36.9,13.3
90.0,44.1,20.0,-10.0,37.7,13.4
90.0,44.1,20.0,-9.1,38.5,13.6
90.0,44.1,20.0,-7.6,40.0,13.8
90.0,44.1,20.0,-5.6,42.0,14.2
90.0,44.1,20.0,-3.7,44.0,14.5
90.0,44.1,20.0,-0.7,47.5,14.9
90.0,44.1,20.0,2.2,50.9,15.2
90.0,44.1,20.0,4.1,50.9,14.3
90.0,44.1,20.0,6.0,50.9,13.5
90.0,44.1,20.0,7.9,50.9,12.8
90.0,44.1,20.0,9.8,50.9,12.1
90.0,44.1,20.0,11.8,50.9,11.4
90.0,44.1,20.0,13.7,50.9,10.8
90.0,44.1,21.0,-15.0,33.7,12.8
90.0,44.1,21.0,-13.0,35.2,13.2
90.0,44.1,21.0,-11.0,36.8,13.5
90.0,44.1,21.0,-10.0,37.7,13.7
90.0,44.1,21.0,-9.1,38.5,13.8
90.0,44.1,21.0,-7.6,39.9,14.0
90.0,44.1,21.0,-5.6,41.9,14.4
90.0,44.1,21.0,-3.7,44.0,14.6
90.0,44.1,21.0,-0.7,47.4,15.1
90.0,44.1,21.0,2.2,49.2,14.6
90.0,44.1,21.0,4.1,49.2,13.8
90.0,44.1,21.0,6.0,49.2,13.0
90.0,44.1,21.0,7.9,49.2,12.3
90.0,44.1,21.0,9.8,49.2,11.6
90.0,44.1,21.0,11.8,49.2,11.0
90.0,44.1,21.0,13.7,49.2,10.4
90.0,44.1,22.0,-15.0,33.6,13.1
90.0,44.1,22.0,-13.0,35.1,13.4
90.0,44.1,22.0,-11.0,36.8,13.7
90.0,44.1,22.0,-10.0,37.6,13.9
90.0,44.1,22.0,-9.1,38.5,14.0
90.0,44.1,22.0,-7.6,39.9,14.2
90.0,44.1,22.0,-5.6,41.9,14.5
90.0,44.1,22.0,-3.7,43.9,14.8
90.0,44.1,22.0,-0.7,47.4,15.2
90.0,44.1,22.0,2.2,47.6,14.0
90.0,44.1,22.0,4.1,47.6,13.2
